guest_id,first_name,last_name,email,country,loyalty_member
1,Noah,Popescu,Noah.Popescu1@example.com,Germany,True
2,Noah,Chen,Noah.Chen2@example.com,France,True
3,Omar,Popescu,OMAR.POPESCU3@EXAMPLE.COM,France,False
4,Ben,Muller,Ben.Muller4@example.com,Romania,False
5,David,Andersen,David.Andersen5@example.com,Spain,False
6,Lucas,Ivanov,Lucas.Ivanov6@example.com,UK,True
7,Laura,Smith,Laura.Smith7@example.com,Netherlands,False
8,Marco,Novak,Marco.Novak8@example.com,Netherlands,False
9,Ben,Smith,Ben.Smith9@example.com,USA,True
10,James,Brown,James.Brown10@example.com,Spain,False
11,Elena,Ivanov,Elena.Ivanov11@Example.Com,Spain,True
12,Sofia,Brown,Sofia.Brown12@example.com,Netherlands,False
13,Priya,Chen,Priya.Chen13@example.com,Germany,False
14,Elena,Chen,Elena.Chen14@example.com,Romania,False
15,Tom,Chen,Tom.Chen15@example.com,Romania,True
16,Priya,Kim,Priya.Kim16@example.com,Romania,False
17,David,Chen,David.Chen17@example.com,Spain,False
18,David,Brown,DAVID.BROWN18@EXAMPLE.COM,UK,True
19,Nina,Ivanov,Nina.Ivanov19@example.com,Romania,False
20,Priya,Rossi,Priya.Rossi20@example.com,Germany,False
21,Ben,Dubois,Ben.Dubois21@example.com,USA,False
22,Yui,Jansen,Yui.Jansen22@example.com,Germany,False
23,Sofia,Silva,SOFIA.SILVA23@EXAMPLE.COM,Romania,True
24,Omar,Novak,OMAR.NOVAK24@EXAMPLE.COM,USA,False
25,Ben,Brown,Ben.Brown25@example.com,Romania,False
26,Ben,Silva,Ben.Silva26@example.com,Romania,False
27,James,Kim,James.Kim27@example.com,Netherlands,False
28,Anna,Garcia,Anna.Garcia28@example.com,France,False
29,James,Brown,James.Brown29@example.com,France,True
30,Marco,Silva,Marco.Silva30@example.com,Spain,False
31,Andra,Novak,Andra.Novak31@example.com,Netherlands,True
32,Marco,Brown,Marco.Brown32@example.com,Germany,True
33,Nina,Smith,Nina.Smith33@example.com,USA,False
34,Ben,Silva,Ben.Silva34@example.com,Romania,False
35,Ben,Rossi,Ben.Rossi35@example.com,Spain,False
36,Elena,Garcia,Elena.Garcia36@example.com,Romania,True
37,James,Kim,James.Kim37@example.com,Romania,False
38,Chloe,Andersen,Chloe.Andersen38@example.com,Germany,True
39,Andra,Novak,Andra.Novak39@example.com,France,True
40,Sofia,Ivanov,Sofia.Ivanov40@example.com,Germany,True
41,Liam,Brown,Liam.Brown41@example.com,France,True
42,Erik,Muller,Erik.Muller42@example.com,Romania,False
43,Nina,Novak,Nina.Novak43@example.com,Spain,False
44,Omar,Muller,Omar.Muller44@example.com,Romania,False
45,Omar,Kim,Omar.Kim45@example.com,Romania,True
46,Noah,Popescu,Noah.Popescu46@example.com,UK,False
47,Noah,Muller,Noah.Muller47@example.com,France,False
48,Omar,Rossi,Omar.Rossi48@example.com,Germany,False
49,Sofia,Andersen,Sofia.Andersen49@example.com,Spain,False
50,Liam,Chen,Liam.Chen50@example.com,Spain,True
51,Sofia,Silva,Sofia.Silva51@example.com,Germany,False
52,Erik,Muller,Erik.Muller52@example.com,Netherlands,True
53,Andra,Kim,Andra.Kim53@example.com,Spain,False
54,James,Kim,James.Kim54@example.com,Romania,False
55,Ben,Chen,Ben.Chen55@example.com,Germany,True
56,Elena,Popescu,Elena.Popescu56@example.com,France,True
57,Laura,Popescu,LAURA.POPESCU57@EXAMPLE.COM,Spain,False
58,Liam,Garcia,Liam.Garcia58@example.com,Germany,True
59,Sofia,Chen,Sofia.Chen59@example.com,USA,True
60,Nina,Muller,Nina.Muller60@example.com,Netherlands,False
61,Omar,Chen,Omar.Chen61@example.com,France,False
62,Anna,Muller,Anna.Muller62@example.com,UK,True
63,Yui,Rossi,Yui.Rossi63@example.com,UK,False
64,Sofia,Popescu,Sofia.Popescu64@example.com,France,False
65,Sofia,Garcia,Sofia.Garcia65@example.com,UK,True
66,Marco,Smith,Marco.Smith66@example.com,UK,True
67,Priya,Brown,Priya.Brown67@example.com,UK,False
68,Chloe,Popescu,Chloe.Popescu68@example.com,France,True
69,Noah,Rossi,Noah.Rossi69@example.com,Netherlands,False
70,Mia,Dubois,Mia.Dubois70@example.com,Germany,False
71,Elena,Chen,Elena.Chen71@example.com,UK,False
72,Anna,Brown,Anna.Brown72@Example.Com,Spain,True
73,Andra,Jansen,Andra.Jansen73@example.com,Romania,False
74,Lucas,Ivanov,Lucas.Ivanov74@example.com,Romania,False
75,Andra,Smith,Andra.Smith75@Example.Com,Germany,False
76,Marco,Novak,Marco.Novak76@example.com,USA,True
77,James,Jansen,James.Jansen77@example.com,Spain,False
78,Liam,Jansen,Liam.Jansen78@example.com,Germany,False
79,Marco,Silva,Marco.Silva79@example.com,Spain,False
80,Tom,Ivanov,Tom.Ivanov80@example.com,Germany,False
81,Lucas,Kim,Lucas.Kim81@Example.Com,UK,False
82,Omar,Silva,Omar.Silva82@example.com,Romania,False
83,Anna,Rossi,Anna.Rossi83@example.com,Netherlands,False
